fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
4,fold_4_train,1990174214234353338800000000,다사300359,8.0,1494.14,17000,2,0,0.0,1990,17000,0,0,1,0,1,1.5241719021163247
4,fold_4_train,1990174231584404706500000000,다사300410,218.0,3294.64,04000,4,1,210.57,1990,4000,0,1,0,1,0,53.45945499353558
4,fold_4_train,1990174235094389675400000000,다사300395,106.0,1929.44,03000,4,1,189.52,1990,3000,0,1,0,45,0,3.149584627882176
4,fold_4_train,1990174253124351311200000000,다사300357,11.0,762.3,17000,2,0,46.25,1990,17000,0,0,1,1,1,1.0163149991091656
4,fold_4_train,1990174254994351528300000000,다사300357,11.0,762.3,17000,2,0,46.25,1990,17000,0,0,1,1,1,1.0163149991091656
4,fold_4_train,1990174258954415329300000000,다사301421,94.0,493.78,03000,4,1,215.02,1990,3000,0,1,0,17,1,0.6669193035074152
4,fold_4_train,1990174262004409933200000000,다사301415,246.0,160.86,01000,2,1,0.0,1990,1000,1,0,0,1,0,5.121638321235336
4,fold_4_train,1990174270584351729500000000,다사301357,15.0,3629.37,17000,3,0,220.17532,1990,17000,0,0,1,1,1,5.219406523808747
4,fold_4_train,1990174271284414829400000000,다사301420,366.0,326.88,02000,3,1,0.0,1990,2000,1,0,0,8,1,10.781621042377974
4,fold_4_train,1990174281394415199600000000,다사301421,94.0,326.02,02000,3,1,0.0,1990,2000,1,0,0,18,1,8.806716810299628
4,fold_4_train,1990174282034409785700000000,다사301415,246.0,148.08,01000,2,1,0.0,1990,1000,1,0,0,4,0,4.714734568000302
4,fold_4_train,1990174285134415321400000000,다사301421,94.0,329.6,02000,3,1,0.0,1990,2000,1,0,0,17,1,8.903422675525299
4,fold_4_train,1990174289354353419900000000,,,41.95,17000,1,1,0.0,1990,17000,0,0,1,0,1,0.0
4,fold_4_train,1990174290314415450400000000,다사301421,94.0,446.64,01000,3,1,0.0,1990,1000,1,0,0,17,1,12.065002135305274
4,fold_4_train,1990174291064409935100000000,다사301415,246.0,148.08,01000,2,1,0.0,1990,1000,1,0,0,7,0,4.714734568000302
4,fold_4_train,1990174295364414784300000000,다사301420,366.0,301.08,02000,2,1,0.0,1990,2000,1,0,0,6,1,9.9306487501198
4,fold_4_train,1990174297444415763400000000,다사301421,94.0,308.08,01000,2,1,0.0,1990,1000,1,0,0,14,1,8.32210697171066
4,fold_4_train,1990174299834407967700000000,다사301413,170.0,171.44,01000,2,1,0.0,1990,1000,1,0,0,0,0,4.526957287565888
4,fold_4_train,1990174304614349138300000000,다사301354,5.0,40.81,17000,1,0,0.0,1990,17000,0,0,1,0,1,0.01995677092502396
4,fold_4_train,1990174308084414583700000000,다사301420,366.0,295.48,02000,3,1,0.0,1990,2000,1,0,0,1,0,9.745941585908724
4,fold_4_train,1990174311454414973000000000,다사301420,366.0,306.24,02000,3,1,0.0,1990,2000,1,0,0,1,1,10.100843208571437
4,fold_4_train,1990174315704416920300000000,다사301422,166.0,493.07,03000,4,1,0.0,1990,3000,0,1,0,24,0,2.556860579227669
4,fold_4_train,1990174320394401993500000000,다사301407,226.0,319.32,01000,3,1,0.0,1990,1000,1,0,0,17,0,10.958654821442794
4,fold_4_train,1990174321034414996800000000,다사301420,366.0,321.12,02000,3,1,0.0,1990,2000,1,0,0,1,1,10.591636530618011
4,fold_4_train,1990174321904416997100000000,다사301422,166.0,258.95,01000,2,1,95.66,1990,1000,1,0,0,24,0,26.85618865439004
4,fold_4_train,1990174330894414569900000000,,,284.4,02000,3,1,0.0,1990,2000,1,0,0,1,0,0.0
4,fold_4_train,1990174332014408320700000000,다사301414,432.0,329.68,02000,3,1,0.0,1990,2000,1,0,0,1,0,15.325989353185495
4,fold_4_train,1990174336024417146700000000,다사302422,224.0,240.06,01000,2,1,0.0,1990,1000,1,0,0,22,0,7.685563066687369
4,fold_4_train,1990174347114351062400000000,다사301356,0.0,983.86,17000,1,0,29.89,1990,17000,0,0,1,0,1,0.0
4,fold_4_train,1990174348224409680700000000,다사302415,232.0,329.88,02000,3,1,0.0,1990,2000,1,0,0,3,0,9.91725616069311
4,fold_4_train,1990174355744401118800000000,다사302406,331.0,327.92,02000,3,1,0.0,1990,2000,1,0,0,0,0,9.430454650761156
